,modis,gldas,gridmet
2004-06-01,2962658.091659546,1614887.9187011719,1207363.593864441
2004-07-01,2304264.495162964,1031127.5500488281,596621.898021698
2004-08-01,1705710.8025741577,516911.62994384766,386102.8015136719
2004-09-01,1538385.8889770508,268459.95025634766,353397.80628204346
2004-10-01,1555500.5653381348,416455.74645996094,2774292.6612854004
2004-11-01,1050043.720550537,630331.2377929688,1191291.943359375
2004-12-01,1035479.8320007324,486272.0819091797,1032099.2011642456
2005-01-01,1222179.8685836792,504568.7677001953,883434.2950057983
2005-02-01,2137001.279067993,804394.0447998047,1305074.1831207275
2005-03-01,2818420.336532593,1653540.5895996094,2489828.0671691895
2005-04-01,2516489.1513061523,2253984.7192382812,2736038.074493408
2005-05-01,3595924.999923706,2741676.8884277344,3256434.132385254
2005-06-01,3468158.9559173584,2577733.055419922,2401679.4426727295
2005-07-01,2008675.157546997,2235073.0078125,1344374.789199829
2005-08-01,1782388.5050582886,1138428.7921142578,648870.9051132202
2005-09-01,1895432.846031189,532490.5673217773,572975.017375946
2005-10-01,1185255.0257492065,467815.1028442383,922946.6790390015
2005-11-01,1096149.0814590454,498153.4881591797,1099877.7993392944
2005-12-01,814913.0179595947,457999.29931640625,1062090.7913589478
2006-01-01,1314864.736289978,561749.9963378906,1177098.2865142822
2006-02-01,1607689.5106887817,886839.8840332031,1292828.2106781006
2006-03-01,2109733.558731079,1234709.2529296875,1897750.2907562256
2006-04-01,2697211.0862731934,1796347.5622558594,3195994.6348571777
2006-05-01,3683150.7508850098,2784278.759765625,3129680.3466796875
2006-06-01,3027388.2543182373,2567637.520751953,2034728.212966919
2006-07-01,1844136.8169021606,1878332.1789550781,975385.5623245239
2006-08-01,1991175.7791137695,884404.5281982422,447610.8416748047
2006-09-01,1717091.357574463,377021.0563659668,286775.0652694702
2006-10-01,1100764.5697402954,306610.7766723633,524174.53199386597
2006-11-01,1141346.1895751953,484897.23907470703,1091512.0582580566
2006-12-01,965278.9623641968,501299.7280883789,1006131.3920974731
2007-01-01,1107807.5679016113,645453.108215332,640416.3869476318
2007-02-01,1648787.3056411743,687198.6502075195,1216887.0203018188
2007-03-01,2406510.719604492,1428831.4581298828,1547816.6189575195
2007-04-01,2075697.3765563965,1774543.0078125,2083287.8155517578
2007-05-01,2853935.853881836,1967866.875,1649312.3735046387
2007-06-01,2618865.56098938,1401350.9436035156,1096942.6709747314
2007-07-01,1962955.552368164,880191.2384033203,667683.676071167
2007-08-01,1816148.7460327148,433275.0540161133,420968.4657096863
2007-09-01,1851795.502281189,301133.7007141113,659914.2186355591
2007-10-01,1156340.7899093628,584121.6705322266,1624563.018951416
2007-11-01,1093703.3081817627,425484.09118652344,661571.0008621216
