,trmm,prism,chirps
2014-02-01,14488636.21875,6533218.5966796875,3841044.8583984375
2014-03-01,8284999.40625,5920499.5458984375,3196639.775390625
2014-04-01,3576915.6796875,2343035.3481445312,1288112.8930664062
2014-05-01,1254122.07421875,613847.3265380859,445329.4839477539
2014-06-01,309867.70751953125,256094.07330322266,172741.05743408203
2014-07-01,264481.1689453125,441955.81787109375,98418.46046447754
2014-08-01,566755.5791015625,473714.4060058594,207003.87176513672
2014-09-01,2162315.53125,1041815.3012695312,498588.4167480469
2014-10-01,2936512.86328125,1753875.0263671875,796376.0174560547
2014-11-01,6569879.3671875,3292143.9345703125,2001670.1513671875
2014-12-01,16810596.09375,10358369.642578125,5820534.873046875
2015-01-01,3342934.8515625,387200.98260498047,644633.3258056641
2015-02-01,8929967.71875,4469769.8349609375,2040749.9047851562
2015-03-01,3696334.171875,761785.1000976562,987923.4924316406
2015-04-01,4522142.109375,1967546.5400390625,1250873.4997558594
2015-05-01,2001787.8515625,1331926.4868164062,695465.4547119141
2015-06-01,746532.8203125,402733.92791748047,269859.2477416992
2015-07-01,906706.08984375,952829.5341796875,224601.17294311523
2015-08-01,244478.58544921875,144436.63623046875,134905.74096679688
2015-09-01,639417.5302734375,391104.2614746094,296719.4970703125
2015-10-01,2191143.28125,1165253.3935546875,778719.2431640625
2015-11-01,6575487.375,3515575.3623046875,1828063.6047363281
2015-12-01,11264632.171875,7432268.07421875,4086740.595703125
