,cri,mas,gfz,csr,jpl,grace_median,gldas_sm,tc_sm,gldas_swe,fldas_swe,res_ts,swe,sm,grace,t,ts_savgol
2008-06-30,-18.59241676027015,-15.931749708711306,-3.8154658776417536,-3.6193009947638717,-2.1911439279833274,-3.6193009947638717,45.22416506534117,10.13335637836218,0.002618682420972696,0.08819596195455351,26.95878839544,0.045407322187763104,27.678760721851674,8.318135479968035,8.318135479968035,-7.5814699544855095
2008-07-31,-24.01144747784402,-20.82919697107433,-17.51894814456779,-14.208261299856847,-15.588142769303772,-15.588142769303772,35.83312741309245,7.420650600821058,0.0006853884587924211,0.0,23.20179333744,0.0003426942293962106,21.626889006956752,-5.734211368450486,-5.734211368450486,-7.420733881049049
2008-08-31,-32.17912758764216,-27.459926664077237,-26.85554088619595,-22.446456963739802,-19.962477342959065,-22.446456963739802,30.146137558990496,5.99586630249934,0.0016267611255101626,0.0,20.27895269772,0.0008133805627550813,18.071001930744917,-15.968199934141325,-15.968199934141325,-6.438333848295676
2008-09-30,-35.72016172834068,-30.360028718695162,-33.195548363022084,-31.445303755631752,-30.903247984174154,-31.445303755631752,26.75906188720299,5.06577923606046,0.004415901150242336,4.223498900396777e-05,18.55765972776,0.0022290680696231517,15.912420561631725,-27.56684510406543,-27.56684510406543,-5.183275857775195
2008-10-31,-32.12405386121085,-27.433098253958278,-37.07573526821255,-37.81961928002881,-26.94777395969122,-37.07573526821255,28.41250161276524,4.472384588528941,0.006007610302319309,0.0004991490288504452,17.4307437654,0.0032533796655848774,16.44244310064709,-36.47986615646387,-36.47986615646387,-5.58879726297546
2008-11-30,-35.17191770298895,-30.09656179263291,-32.697295306984834,-25.630662682015853,-25.197405682170878,-25.630662682015853,37.143875353482485,10.050953477079844,0.13199875924688337,0.45004573943804194,17.74137596772,0.2910222493424627,23.597414415281165,-33.3840350686468,-33.3840350686468,-6.8146730570835015
2008-12-31,-23.094865743671424,-19.398936767067188,-23.735917681284263,-22.848726962513314,-24.127083631912743,-23.735917681284263,44.8491769048452,15.880136892481458,1.4810820435353065,1.9505520366541653,17.83252767276,1.715817040094736,30.36465689866333,-32.019106660458704,-32.019106660458704,-8.571040305891005
2009-01-31,-12.18022124650751,-10.062098679376051,-8.743882952034962,-13.516605497821864,1.1226027765351876,-8.743882952034962,56.64239982721903,17.63822474912306,2.299552842115454,4.038506762700091,19.02381895632,3.1690298024077723,37.140312288171046,-18.164042387415712,-18.164042387415712,-11.784816426243523
2009-02-28,8.086705550192546,7.488668587266212,2.4547315845306903,5.5126342232906556,1.4181284566406878,2.4547315845306903,57.98396986927624,26.487910505708925,1.046031563361006,5.210024146030351,21.96860320524,3.1280278546956786,42.23594018749258,-5.544678615998752,-5.544678615998752,-13.545870150916363
2009-03-31,-2.2896412787437095,-1.410552494441794,9.647916008852455,14.43376913486131,21.537858131088242,14.43376913486131,77.38698453263596,25.461219216878334,0.6122683164435407,5.275446823487139,26.71872605088,2.9438575699653398,51.42410187475715,0.6796548866870804,0.6796548866870804,-15.603236533196178
2009-04-30,-4.390150100253618,-3.4829116445644397,3.197559348304544,10.500503934354901,7.791416609973428,7.791416609973428,66.19078058720692,20.774223163049463,0.08666647788668676,2.39281527182421,28.2212453076,1.2397408748554484,43.48250187512819,15.934614047992277,15.934614047992277,-16.674669384724087
2009-05-31,-13.795996272447372,-11.56633374987807,2.080942042932568,0.2910510068897162,2.115990232117715,2.080942042932568,60.78813012910285,16.185927235712903,0.0150482961314071,0.48254704224557066,30.9458916144,0.2487976691884889,38.48702868240788,5.342712134519838,5.342712134519838,-17.250418618965124
2009-06-30,-27.068669153059936,-22.861997922097586,0.6261286012526356,6.422123049656122,0.8738434124171743,0.8738434124171743,50.03824045986666,11.193592602593883,0.005373122064155889,0.01965203168638394,28.673352732,0.012512576875269915,30.61591653123027,11.253779538308006,11.253779538308006,-16.70419770900883
2009-07-31,-31.10439253377623,-26.21884710247138,-13.384903174965416,-10.887283014092107,-9.939868290013827,-10.887283014092107,39.414671827704346,7.771417909483724,0.0002818003259988414,0.0,25.15979605332,0.0001409001629994207,23.593044868594035,-0.33848299606360177,-0.33848299606360177,-16.104504187417103
2009-08-31,-39.06944118533553,-32.97926257968145,-27.457133546494756,-30.26677780304307,-18.751551225697096,-27.457133546494756,32.25268609301172,6.126861253634412,0.0006852188868514974,0.0,22.37957160468,0.0003426094434257487,19.189773673323064,-20.273839611864208,-20.273839611864208,-13.899137018549313
