,modis,gldas,gridmet
2004-10-01,1555500.5653381348,416455.74645996094,3369841.8118286133
2004-11-01,1050043.720550537,630331.2377929688,1515302.9990386963
2004-12-01,1035479.8320007324,486272.0819091797,1077115.3987884521
2005-01-01,1222179.8685836792,504568.7677001953,866708.5899353027
2005-02-01,2137001.279067993,804394.0447998047,1367540.196762085
2005-03-01,2818420.336532593,1653540.5895996094,2845218.092651367
2005-04-01,2516489.1513061523,2253984.7192382812,3998692.460632324
2005-05-01,3595924.999923706,2741676.8884277344,5710944.130554199
2005-06-01,3468158.9559173584,2577733.055419922,7026238.501281738
2005-07-01,2008675.157546997,2235073.0078125,8521433.563842773
2005-08-01,1782388.5050582886,1138428.7921142578,7539063.497314453
2005-09-01,1895432.846031189,532490.5673217773,5320595.239562988
2005-10-01,1185255.0257492065,467815.1028442383,3567070.561981201
2005-11-01,1096149.0814590454,498153.4881591797,1888356.7391967773
2005-12-01,814913.0179595947,457999.29931640625,1141958.6492156982
2006-01-01,1314864.736289978,561749.9963378906,1257509.8491668701
2006-02-01,1607689.5106887817,886839.8840332031,1705325.009765625
2006-03-01,2109733.558731079,1234709.2529296875,2137088.9225006104
2006-04-01,2697211.0862731934,1796347.5622558594,3573432.675933838
2006-05-01,3683150.7508850098,2784278.759765625,6162684.642333984
2006-06-01,3027388.2543182373,2567637.520751953,7495966.0986328125
2006-07-01,1844136.8169021606,1878332.1789550781,8429210.11505127
2006-08-01,1991175.7791137695,884404.5281982422,7389077.319030762
2006-09-01,1717091.357574463,377021.0563659668,5519423.147277832
2006-10-01,1100764.5697402954,306610.7766723633,3473077.129211426
2006-11-01,1141346.1895751953,484897.23907470703,1760883.522720337
2006-12-01,965278.9623641968,501299.7280883789,1176613.9614486694
2007-01-01,1107807.5679016113,645453.108215332,1220345.5239486694
2007-02-01,1648787.3056411743,687198.6502075195,1456790.2713775635
2007-03-01,2406510.719604492,1428831.4581298828,3298219.619293213
2007-04-01,2075697.3765563965,1774543.0078125,4274419.751586914
2007-05-01,2853935.853881836,1967866.875,6514083.9404296875
2007-06-01,2618865.56098938,1401350.9436035156,7643226.659545898
2007-07-01,1962955.552368164,880191.2384033203,8290167.942810059
2007-08-01,1816148.7460327148,433275.0540161133,7585742.400512695
2007-09-01,1851795.502281189,301133.7007141113,5356854.901428223
2007-10-01,1156340.7899093628,584121.6705322266,3479843.2008361816
2007-11-01,1093703.3081817627,425484.09118652344,1811847.565612793
2007-12-01,968132.6181793213,414558.04779052734,1016583.9065551758
2008-01-01,1226646.791152954,521830.9945678711,1148717.4811935425
2008-02-01,1865245.6748199463,783226.8814086914,1476627.1964263916
2008-03-01,1760006.3605499268,1557194.5733642578,2908134.57321167
2008-04-01,2415394.691619873,1869492.8430175781,4401373.322296143
2008-05-01,1973220.986480713,1909289.6520996094,6024533.458557129
2008-06-01,1988215.4697418213,1632953.9465332031,7757131.022644043
2008-07-01,1600398.55178833,1001130.7159423828,8257107.181091309
2008-08-01,1524567.5216674805,502595.66162109375,7659272.642211914
2008-09-01,1112745.9436798096,236826.9854736328,5633797.2830200195
2008-10-01,1300611.9108581543,317571.768951416,3872748.0528259277
2008-11-01,950031.1330032349,498089.2868041992,1853777.552947998
2008-12-01,993678.8962554932,379896.1097717285,972785.2127838135
2009-01-01,1446961.31275177,608782.7416992188,1246244.6660614014
2009-02-01,1679621.5396499634,671014.7259521484,1536080.931930542
2009-03-01,2482274.3156433105,1437966.2603759766,2910516.1976623535
2009-04-01,2022307.1445465088,1878955.7958984375,4403837.727355957
2009-05-01,2971298.317565918,2203137.24609375,6303211.015319824
2009-06-01,2880005.2143859863,1822834.5666503906,6806844.731140137
2009-07-01,1855833.3520889282,1288180.1568603516,8279278.928833008
2009-08-01,1617574.2232131958,622087.3168945312,7422057.932739258
2009-09-01,1364811.498413086,348469.2663574219,5777881.759643555
2009-10-01,1272037.889328003,581432.7310180664,3474070.496520996
2009-11-01,1152583.7983703613,522042.92907714844,1910408.1186676025
2009-12-01,976347.4005889893,368627.1611022949,963081.0876846313
2010-01-01,1068383.0981826782,497269.423828125,1204606.750946045
2010-02-01,1684353.7497711182,708413.8128662109,1443042.1087646484
2010-03-01,2332860.760574341,1552312.1887207031,2882917.786102295
2010-04-01,2370402.578430176,1830282.6708984375,3694564.1079711914
2010-05-01,3127328.607788086,2205873.017578125,5407771.118774414
2010-06-01,3365983.2094573975,2399616.3647460938,7343524.583129883
2010-07-01,2619824.1551971436,1816747.8112792969,8213019.925231934
2010-08-01,2160213.3544921875,858540.673828125,7345084.836730957
2010-09-01,1806770.3744888306,486867.0767211914,5562027.372436523
2010-10-01,1231357.3427581787,556846.9738769531,3533489.7157287598
2010-11-01,1265158.6763763428,511111.2826538086,1846657.8355407715
2010-12-01,1002550.9268188477,345462.1682739258,1273697.1146392822
2011-01-01,1459125.5548095703,593592.4676513672,1062518.00365448
2011-02-01,1693832.2187805176,882894.8858642578,1586831.1492919922
2011-03-01,2434870.9657287598,1187496.3702392578,2498522.3712158203
2011-04-01,2367460.298309326,1946175.1281738281,3972247.7124023438
2011-05-01,3171649.424057007,2296141.336669922,5501612.1533203125
2011-06-01,3459208.720550537,2527575.5017089844,6653939.293212891
2011-07-01,3222200.166091919,2061527.080078125,7970892.20123291
2011-08-01,2273172.9345703125,1101265.5926513672,7491804.837341309
2011-09-01,1777747.7289962769,543012.1188354492,5654559.127807617
2011-10-01,1326239.203491211,671330.0830078125,3549780.530090332
2011-11-01,1151098.4924697876,425740.2429199219,1710031.8040466309
