,fldas_aet,gldas_aet,modis_aet,tc_aet,nldas_etr,gldas_etr,gmet_eto,gmet_etr,modis_pet,tc_pet
2005-05-31,0.7382017909615272,1.0286411830964899,0.6327013448242197,0.6421283950865067,7.3449804628501605,8.303329938068476,5.308812109792889,6.874421385696573,6.619890675728867,5.329855673560447
2005-06-30,0.5322476056766889,0.8698075491880238,0.5282671443875641,0.34521791976628713,9.182032230653702,10.22905172485505,6.137762798761023,8.073612576773442,7.9810301872537615,6.25573017351148
2005-07-31,0.4088653029179623,0.6349969037675259,0.2948415540701867,0.16803149421989652,12.085010021330024,12.611021568302151,7.744190389625072,10.394975332341383,8.843680761033589,7.238347771104076
2005-08-31,0.23846548445492982,0.28919886447242604,0.276099250041073,0.09423420627225101,11.348143135435192,11.50990891486248,7.059067221780822,9.790748740209139,7.9232285833987035,6.326493236682592
2005-09-30,0.12428014821181381,0.14096403879940325,0.2805379844907169,0.07932659544064002,7.990460874142298,8.544641761634526,4.792872552242973,6.673694280325979,6.235764735124982,4.518655042783274
2005-10-31,0.1036019178385895,0.14107888530661097,0.18296491578468396,0.1455009975693553,5.713772300119581,6.26095217989371,3.2951914439915084,4.760279994271047,3.3889372573884735,3.0721580415409697
2005-11-30,0.15343074737790952,0.1731672982411701,0.19648428203068238,0.259903853313004,3.3471242861622135,3.520281069083904,1.8388919045567091,2.773011911308284,3.3484160424791347,1.6656973638129948
2005-12-31,0.21971016564610626,0.17511820003471568,0.20102597508638118,0.3192653757528346,1.9278501104449248,1.7760369887495335,1.0454874679373916,1.5314420849295642,1.7767351536627956,1.006960690049506
2006-01-31,0.2980178437069354,0.25053720643188443,0.25620373369273725,0.36443272712232166,1.9666695810238684,1.8629679528187804,1.1408770163915105,1.6248713787648765,1.9535994446410296,1.1397253973369474
2006-02-28,0.36795417842212186,0.3755504207976174,0.2999839519932737,0.4001320137009193,2.789118909870163,3.0918782110053926,1.849029300937825,2.6196872416880974,3.231407121499959,1.6683071558692146
2006-03-31,0.519555767283002,0.5475227799319421,0.45578343613419936,0.6179732791014904,3.1565141464317374,3.1568084901061373,2.1077385797082098,2.7516413334883647,2.973651352359956,2.1073833625178358
2006-04-30,0.7460092969242808,0.722632223727463,0.5115619558219295,0.8735868717228675,4.469122897416845,4.088264970218387,3.2326002324542396,4.074814318651284,3.7252131831157462,3.276783949207593
2006-05-31,0.81954632414973,1.0428479499357906,0.6382647074105225,0.6966723373228675,8.157248014738386,8.836110758474558,5.994123732776639,7.903848847272125,7.052290011717071,5.597928248041714
2006-06-30,0.6295695379519904,0.8661723721798188,0.4626913506922416,0.31331144234405656,10.284200499390478,11.147250406824686,7.09424508043572,9.535524428498766,8.298817587337338,6.704538015486998
2006-07-31,0.4062443200693677,0.579917765039659,0.28421431140352005,0.15818724457813335,12.118550422927537,13.244044377343892,7.795547618259194,10.586148346820062,8.682833895472992,7.24119367337703
2006-08-31,0.21371263657652587,0.24341070725947658,0.3142717799424001,0.08052445547178667,10.587121658701067,11.48181667306219,6.380017793011018,8.593849864538706,7.978184807774572,6.219696970061705
2006-09-30,0.10903320472420253,0.10004853386440658,0.25745315143920944,0.0509507753433851,8.912136863777272,9.5933379815983,5.152809858349444,7.283354605540592,6.129143468738762,4.677988163482002
2006-10-31,0.1238432300254107,0.0988667727146186,0.16795051109476394,0.10194350595975532,5.71145767350391,6.021054670276026,3.0518528430552108,4.393160064764846,3.693760559376666,2.944397275076568
2006-11-30,0.13956888062612674,0.15025446886034716,0.1937519055321851,0.27312262546291455,3.049224597838656,3.098061622721191,1.6196103921720761,2.365428584175487,3.0303927558425103,1.5238299544937413
2006-12-31,0.20857082886201594,0.17341790278538968,0.17615981070938358,0.3025481298429993,1.9692219508351287,2.1207404158366514,1.2091299912707167,1.8572028627332091,2.2843698098135845,1.1030879109517555
2007-01-31,0.1950299678875723,0.22777962977475177,0.19118533865712944,0.15818484628861493,2.1480450797365163,2.7593876880859938,1.4292100258112017,2.176183264186823,2.6014507853277875,1.078971947834027
2007-02-28,0.30907467724131144,0.27945755241216574,0.2986971362882259,0.3833963989771044,2.47043496688615,2.272847406670317,1.5094650293107392,2.0832942903501834,2.915053504483489,1.425138694249211
2007-03-31,0.5454539865765601,0.6394864502173947,0.4364817800344596,0.3189576322007844,5.025371522194755,5.36989993698985,3.481565120676247,4.73370006338792,5.138666101832284,3.0981674313555323
2007-04-30,0.5339934397513206,0.7295670746165636,0.3542257253833789,0.40753688710244396,6.629500591275342,7.2430599432633995,4.389125211467061,5.9417357310601675,4.3353544929308105,4.000414880927825
2007-05-31,0.4459124198710167,0.6419251441624172,0.44915723003904007,0.18323733932232786,9.873101683730992,11.423310454859038,6.374405643469228,8.555070260558093,7.657402074778203,5.857498567023437
2007-06-30,0.31167150847586994,0.37458146612135057,0.38941469148943064,0.09131172609405491,11.416487832860039,12.92632438176784,7.215691242055243,9.831226305520394,8.681432458742767,6.739591644444311
2007-07-31,0.20595021611007786,0.22027142486211537,0.31963803792725337,0.0774384515393255,12.037954133236921,13.133228991946885,7.476914820717296,10.101153262780864,8.601380220615983,7.118518536136985
2007-08-31,0.10856294372854056,0.1153087605702596,0.2750392641905443,0.05428495663304785,11.29057878932847,11.910993540040476,7.02076347263183,9.73451362513323,8.056235237293679,6.382347221171903
2007-09-30,0.06907037245602397,0.08629854636537185,0.2786078487768847,0.09466926422377413,8.097014901993937,8.817385603752049,4.777721246916024,6.657270309112482,5.889251708829616,4.577956456493377
2007-10-31,0.1123657201518961,0.1867413048639836,0.1748605284456408,0.2927182801871812,5.2818498975877555,5.780674444309329,2.9644547762101574,4.240994841306337,3.457101980903304,2.9900556995764704
2007-11-30,0.12411599268376274,0.1344060966383066,0.17649873857596238,0.12544837295244549,3.2375275029172528,3.9749998187641453,1.7954369749607701,2.6694504623717408,3.607829765834391,1.57842050474747
2007-12-31,0.12480287168195846,0.14391098447989237,0.18610637831388865,0.2798052653802918,1.889635434937921,1.9751902727984065,1.1969593762312445,1.8243557381399411,1.7367225765498482,0.9680036587664567
2008-01-31,0.2956205361154653,0.22455434299476684,0.2609272237497726,0.31861146566053655,1.6367936642568945,1.7553479532590763,1.1999977014484522,1.770947262436759,2.0282927852499832,1.0037543991520879
2008-02-29,0.3649635443190121,0.36232563760177106,0.34509951073581185,0.40510075267794826,2.2924474994747754,2.593607410185751,1.7416959543847672,2.402386515074515,3.0806985023106517,1.4741891741567499
2008-03-31,0.5440900777197017,0.7141582860947188,0.31788894690966585,0.37280775545273737,4.544926377251729,5.530622907550588,3.2485609224704035,4.429493474859046,3.3203357026336127,2.879943252304916
2008-04-30,0.5406916209933407,0.805750085979483,0.43665275420270444,0.3330502117363953,6.6292428686943525,8.230451479585957,4.53368677756798,6.147648745696711,6.285603811401086,4.1389993992469085
2008-05-31,0.40460842685096177,0.6405730827756861,0.30723163363689415,0.22009077882799688,9.29056937354755,10.85038809732165,6.234485245789886,8.402793841865895,5.353793981374945,5.510082687269548
2008-06-30,0.33751170812078846,0.4095619225761252,0.2664339192996644,0.12091452078320943,11.600251255303418,13.273317282875844,7.414666590750512,10.17324415764188,6.556392163479393,6.869675958933787
