,cri,mas,gfz,csr,jpl
2007-09-30,-42.442730016825145,-35.30436296748729,-13.672698404658979,-11.964288903622698,-11.625793309590904
2007-10-31,-35.788422837300374,-29.2000953779844,-16.304680362787334,-16.757779572203308,-17.033008835365028
2007-11-30,-25.919166627751736,-20.8939083689435,-18.262724839943687,-15.898811443761556,-12.071521341229223
2007-12-31,-1.8275641858936629,-0.5894929058050752,-8.567097067777441,-8.366607175630197,-6.776533914639662
2008-01-31,15.043118152135689,12.775424465001134,0.733420713866437,-0.5289030254774997,3.143640450540423
2008-02-29,33.59583506177226,28.699688874036998,7.657361607447534,7.712040480077787,10.710357111704734
2008-03-31,18.02988251829007,15.390876463024554,12.67258543281152,14.798624544986437,14.094553856036224
2008-04-30,-5.151453468269085,-4.63722442043887,8.04858116519957,8.877251176263918,8.175464973462953
2008-05-31,-12.874086315466078,-10.290611374176619,0.3166139038234555,0.1180374847322156,0.7745685036689446
2008-06-30,-26.102160747641026,-21.557585994917723,-2.309798853706696,-2.3081779336479133,-1.6688624238421692
2008-07-31,-32.24690610480942,-26.13148424675247,-7.680494554514615,-6.22232077276737,-6.676795294854928
2008-08-31,-45.19722016794622,-36.7263380142685,-11.245899642934962,-9.18137443282332,-8.108505187026884
2008-09-30,-49.6686134510591,-40.47593276887021,-13.85490310233271,-13.157257164806357,-12.875265529511077
2008-10-31,-46.93806925740426,-38.666593686706015,-15.577072370211512,-15.967080937297272,-11.073201606685766
2008-11-30,-52.80235089550669,-43.136012202401496,-14.482201199673776,-11.027515930692383,-11.255728529797697
2008-12-31,-37.10918488068969,-30.200849519084638,-10.689490338800853,-10.389059647839426,-10.99187090093816
2009-01-31,-20.375166353908504,-16.348651130428145,-4.697133176348322,-6.999559717343078,-0.4477469910830621
2009-02-28,5.819885780284719,5.908544734259403,0.08681689860447797,1.7515476584432152,0.09928516065863352
2009-03-31,-8.702737279801102,-6.408696669321877,3.247648801003473,5.206858911026932,8.348935974821728
2009-04-30,-10.291740012094351,-7.933396696389503,-0.1161975491756664,3.154556221525418,2.0434788607623307
2009-05-31,-23.23307550539742,-19.021109987194958,-0.5580137424989859,-1.3658780747199193,-0.4509717051428122
2009-06-30,-39.08847912601821,-31.73566096788135,-1.2296483668526388,1.3007920209011947,-0.8714106850965365
2009-07-31,-43.757800339117004,-35.174550014318996,-6.2390141367771665,-5.078179727185723,-4.596820317387525
2009-08-31,-54.43329868041039,-44.152550567309845,-12.295732196494646,-13.410747253844946,-8.306257852363311
2009-09-30,-58.37973604999379,-47.78034516337068,-18.52171276733266,-14.392768719668332,-13.329605326844009
2009-10-31,-62.62230445208811,-51.41169299906077,-15.600363269973558,-13.554035352301348,-14.094649033852713
