,prism,chirps,persiann,trmm,modis,gmet_eto,gmet_etr,fldas,terraclimate,p_mean,et_mean,qs,c2v_s,ds
2006-01-31,25.03172326807321,20.138747216640088,22.189213069170446,22.683663330154587,2.681540906612455,5.5211924926589475,8.059706400501698,3.5437975407994857,4.451809996884733,22.510836721009582,4.851609467491463,5.017184216064,5637.2180489476295,12.642043037454119
2006-02-28,12.523112797291558,10.886597409176947,11.962988166824537,13.810234103343317,3.7262571178506043,8.691030155729264,12.50538407628333,4.692254942780299,4.850260027039824,12.29573311915909,6.893037263936664,3.351313668096,5638.4653744527095,2.0513821871264257
2006-03-31,28.11570874991867,25.013307075675964,26.40028199965247,27.9904689609016,4.150695263995383,9.13085125235024,11.913165607196376,6.052702227963081,6.859027581731136,26.87994169653718,7.621288386647242,5.112845162496002,5640.324920212445,14.145808147393936
2006-04-30,26.517780473066427,19.415053293214424,22.661543433516645,25.17346371173178,5.82665071675874,14.743317635329644,18.504737812347006,8.890497591202124,12.28034703750526,23.44196022788232,12.049110158628555,5.699043698687999,5642.363813945415,5.693806370565766
2006-05-31,4.06720338270598,3.6157795306250757,4.059434659528081,4.044376960744526,8.235389249878942,26.30570247655277,33.9191065998911,11.162864714999477,12.208470964652474,3.9466986334009153,18.366306801194956,3.954882862080001,5642.722504867859,-18.37449102987404
2006-06-30,0.6097117406356253,1.1894310477207868,0.8881769817860493,0.741799034185191,6.855647367966721,31.19232065748913,40.84799157606896,10.645562117536464,7.557469656447902,0.8572797010819131,19.419798275101837,1.9971363317759998,5642.214494365264,-20.559654905795924
2006-07-31,0.46895525950700645,0.4940586514936523,0.3285357773581413,0.332668770155641,4.3065910150533515,35.06713295422171,46.39146887248471,8.393986282469303,3.382022555086608,0.40605461462861026,19.508240335863135,1.409714509824,5641.089985515105,-20.511900231058526
2006-08-31,0.11717260666620692,0.5531942992410974,0.22853647973970656,0.1510848557326662,4.449023509628488,29.910472146577565,40.10102793431874,4.7441946104452,1.58704788927749,0.26249706034491926,16.158353218049495,1.4307550248960001,5639.796112083363,-17.326611182600576
2006-09-30,0.06767115495949702,0.9909505688605185,0.07324218954591219,0.036146241843751384,3.8486988222841476,23.85887137106207,33.69848672667342,2.506233270262769,1.0793952307774244,0.2920025388024198,12.998337084211965,1.321882592256,5638.296177314003,-14.028217137665544
2006-10-31,1.5787312989270208,2.3953353686831056,1.734897377439882,1.683025339460395,2.5041435246306896,14.533236592053095,21.107138036527996,2.0341111738507465,1.997557485144345,1.8479973461276007,8.435237362441374,0.8890106932224001,5637.830233117877,-7.476250709536173
2006-11-30,9.095689549954729,10.564143275036395,9.519642067946416,9.01932381502531,2.415051381523878,7.567514451599895,11.199156208818176,2.317507472506093,4.554135334246199,9.549699676990713,5.610672969738848,0.8915306618879999,5638.106740516101,3.0474960453638644
2006-12-31,15.820212937963186,15.195351149049216,14.778398227036968,15.549846786562561,2.1044228327681007,6.169123052080771,9.655447140860884,2.997451302270096,3.6343444003309937,15.335952275152982,4.912157745662169,1.2856733337600001,5638.86952153029,9.138121195730813
2007-01-31,3.0502008524304554,3.9079909695724386,3.7959170981888977,3.660467358839545,2.2864233456527563,7.369289534807139,11.450152496450945,3.0025437176886056,1.9376998452364549,3.6036440697578342,5.209221787967181,1.0483558963200001,5639.592451160197,-2.653933614529347
2007-02-28,22.61145965702397,20.225641769031082,20.187216361658383,23.974574703141528,3.519328713356148,7.054871953232468,9.898974733547591,3.8214534364739965,4.538145404227262,21.749723122713743,5.766554848167493,1.5550408581120003,5640.413577519959,14.428127416434249
2007-03-31,3.381111060120731,5.101661842372999,3.0727695646630666,3.17001456355112,5.377982590415813,15.723374698262129,21.380504152208232,6.945697829016492,6.2464761157788615,3.6813892576769796,11.134807077136307,1.3896526233600002,5640.381122231709,-8.843070442819327
2007-04-30,6.326653482668797,7.155344872189936,6.569089831877046,6.913732693485402,4.703619778007042,19.065838338498594,25.32553458506664,7.350114802648966,8.101439130270219,6.741205220055296,12.909309326898292,1.0004764916735998,5639.936199550041,-7.168580598516596
2007-05-31,1.8786532011074752,2.273278538930601,1.9937056878732742,1.970314854955972,6.428259823871802,28.29289220046496,37.22966062719764,7.9309995595234355,6.321421127334651,2.0289880707168306,17.240646667678494,0.7100929179648,5638.081124279302,-15.921751514926463
2007-06-30,0.7246218179340025,1.16453998693399,0.7904940000069433,0.8228731925066662,5.822199298829051,31.859082724365596,42.42306307213289,6.744660299180023,3.907785572359228,0.8756322493454005,18.151358193373362,0.9020753851392002,5636.560125848902,-18.17780132916716
2007-07-31,0.8427666467998609,0.5812065317985667,0.7091921569611939,0.8191637230952122,4.373788646524889,34.226101361304636,45.2550073976557,4.7261075991833374,2.3339135740454156,0.7380822646637085,18.182983715742793,1.4459237683200001,5634.519868356208,-18.890825219399083
2007-08-31,0.3897739632795488,0.5633280109539168,0.3808885894472542,0.3135013355633579,4.00247406826717,32.01521552543283,43.79822614244373,2.507437543332394,1.6541229453307984,0.4118729748110195,16.795495244961383,1.2986401628160003,5632.106038143196,-17.682262432966365
2007-09-30,1.8181030633851711,2.0706454414234448,1.8347235600598502,1.8573334062101237,4.144035102440508,21.732341089972703,30.122243692944885,1.5513182762035183,2.5904054901474893,1.8952013677696475,12.02806873034182,1.115391955968,5629.918288847201,-11.248259318540173
2007-10-31,7.134083440255963,5.677645016610634,7.452272694068698,6.620173210836278,2.5882446225769415,13.479600863910086,19.31335381148545,1.937430932982596,6.212862053612926,6.721043590442893,8.706298456913597,0.7995395727360002,5629.413988126959,-2.7847944392067046
2007-11-30,2.5236440985442323,4.219554947519065,2.865052047964887,2.7441416983775717,2.480251657990224,8.50597690555786,12.828911562385802,2.085032137402941,2.5498154929987265,3.088098198101439,5.68999755126711,0.734338441728,5629.31906279929,-3.3362377948936714
2007-12-31,14.90899298528289,13.003667110446331,14.768140974934228,15.095160521319427,1.8004545761320159,5.637345418887665,8.692586460084003,1.845114432370439,3.276023488858151,14.44399039799572,4.250304875266455,0.9193237143552001,5629.761840052758,9.274361808374065
2008-01-31,31.331873419998296,27.358174458143996,28.324884075173827,27.67540158750147,2.42399194793462,5.791310786975009,8.705620413807276,3.575394881267979,3.646904551391474,28.672583385204398,4.828644516275271,1.7050156922880002,5630.986781791322,22.138923176641125
2008-02-29,16.745331202762866,11.912588879823158,9.78474854456323,11.411817802947194,3.8314895067738357,8.137602943689146,11.372396129562548,4.383971436792708,4.633047690026768,12.46362160752411,6.471701541369001,1.8664894126080003,5631.980610376377,4.1254306535471095
2008-03-31,2.259046765815681,4.531643732096365,4.85541186674275,5.323586645445099,3.6981787784408846,14.225727479707448,19.347225891023314,6.557840166307282,5.57576083713004,4.242422252524973,9.880946630521795,1.0393035816960001,5632.095469986239,-6.677827959692822
2008-04-30,0.9227144387350574,2.442831615412779,2.900408804289193,3.569260249681806,5.640413824722824,19.848579425758302,26.63690518431337,6.996956871334756,6.917450804356919,2.458803777029709,13.208061222097234,0.7480881736703998,5631.47039787316,-11.497345618737924
2008-05-31,3.1119256543985956,3.064739880783485,3.3541399409247594,3.0394008236082617,4.597720670960139,27.201994992518884,35.901128675854075,6.873590999409733,7.272950998754487,3.1425515749287753,16.369477267499462,0.6665439449088001,5629.806476950547,-13.893469637479487
