,runoff,soil_moisture,swe,prism,chirps,persiann,trmm,daymet,modis,gmet_eto,gmet_etr,fldas,terraclimate,p_mean,et_mean,q_out1,q_out2,res_s,c2v_s
1983-09-30,,,,,,,,,,,,,,,,,,,5677.2296700240695
1983-10-31,,,,,,,,,,,,,,,,,,,5677.922175808369
1983-11-30,,,,,,,,,,,,,,,,,,,5679.216917289075
1983-12-31,,,,,,,,,,,,,,,,,,,5681.122238921196
1984-01-31,,,,,,,,,,,,,,,,,,,5682.3470129475345
1984-02-29,,,,,,,,,,,,,,,,,,,5683.089418132778
1984-03-31,,,,,,,,,,,,,,,,,,,5683.631964942936
1984-04-30,,,,,,,,,,,,,,,,,,,5683.583142545485
1984-05-31,,,,,,,,,,,,,,,,,,,5681.868091547585
1984-06-30,,,,,,,,,,,,,,,,,,,5680.635991703358
1984-07-31,,,,,,,,,,,,,,,,,,,5679.247675181407
1984-08-31,,,,,,,,,,,,,,,,,,,5677.744047205952
1984-09-30,,,,,,,,,,,,,,,,,,,5676.08254519839
1984-10-31,,,,,,,,,,,,,,,,,,,5676.509117912599
1984-11-30,,,,,,,,,,,,,,,,,,,5677.516721848877
1984-12-31,,,,,,,,,,,,,,,,,,,5678.458706543568
1985-01-31,,,,,,,,,,,,,,,,,,,5679.066956089425
1985-02-28,,,,,,,,,,,,,,,,,,,5679.570599019706
1985-03-31,,,,,,,,,,,,,,,,,,,5680.206249110423
1985-04-30,,,,,,,,,,,,,,,,,,,5679.929037446752
1985-05-31,,,,,,,,,,,,,,,,,,,5678.1484657891115
1985-06-30,,,,,,,,,,,,,,,,,,,5676.936460943182
1985-07-31,,,,,,,,,,,,,,,,,,,5675.524910736119
1985-08-31,,,,,,,,,,,,,,,,,,,5673.772020593098
1985-09-30,,,,,,,,,,,,,,,,,,,5672.132583527521
1985-10-31,,,,,,,,,,,,,,,,,,,5672.120607219927
1985-11-30,,,,,,,,,,,,,,,,,,,5672.854121880162
1985-12-31,,,,,,,,,,,,,,,,,,,5673.538735939926
1986-01-31,,,,,,,,,,,,,,,,,,,5674.623956963924
1986-02-28,,,,,,,,,,,,,,,,,,,5677.4159845277545
1986-03-31,,,,,,,,,,,,,,,,,,,5680.221853189227
1986-04-30,,,,,,,,,,,,,,,,,,,5681.338512012453
1986-05-31,,,,,,,,,,,,,,,,,,,5680.950468795342
1986-06-30,,,,,,,,,,,,,,,,,,,5680.205512812026
1986-07-31,,,,,,,,,,,,,,,,,,,5679.034787228459
1986-08-31,,,,,,,,,,,,,,,,,,,5677.834608149118
1986-09-30,,,,,,,,,,,,,,,,,,,5676.708167447844
1986-10-31,,,,,,,,,,,,,,,,,,,5676.7366124286455
1986-11-30,,,,,,,,,,,,,,,,,,,5676.980239273525
1986-12-31,,,,,,,,,,,,,,,,,,,5677.372795566065
1987-01-31,,,,,,,,,,,,,,,,,,,5678.062561252626
1987-02-28,,,,,,,,,,,,,,,,,,,5678.8243473814955
1987-03-31,,,,,,,,,,,,,,,,,,,5679.710078963176
1987-04-30,,,,,,,,,,,,,,,,,,,5679.335639504722
1987-05-31,,,,,,,,,,,,,,,,,,,5677.43337860133
1987-06-30,,,,,,,,,,,,,,,,,,,5676.025766529088
1987-07-31,,,,,,,,,,,,,,,,,,,5674.38249229811
1987-08-31,,,,,,,,,,,,,,,,,,,5672.453732609909
1987-09-30,,,,,,,,,,,,,,,,,,,5670.480726511854
1987-10-31,,,,,,,,,,,,,,,,,,,5670.485672029164
1987-11-30,,,,,,,,,,,,,,,,,,,5670.810274062502
1987-12-31,,,,,,,,,,,,,,,,,,,5671.637277640285
1988-01-31,,,,,,,,,,,,,,,,,,,5672.695479321931
1988-02-29,,,,,,,,,,,,,,,,,,,5673.083810232886
1988-03-31,,,,,,,,,,,,,,,,,,,5673.364776892493
1988-04-30,,,,,,,,,,,,,,,,,,,5673.641765710634
1988-05-31,,,,,,,,,,,,,,,,,,,5671.483430468375
1988-06-30,,,,,,,,,,,,,,,,,,,5669.6715364584925
1988-07-31,,,,,,,,,,,,,,,,,,,5667.819922049198
1988-08-31,,,,,,,,,,,,,,,,,,,5665.718948537297
1988-09-30,,,,,,,,,,,,,,,,,,,5663.574921549574
1988-10-31,,,,,,,,,,,,,,,,,,,5663.146643686854
1988-11-30,,,,,,,,,,,,,,,,,,,5663.514426924628
1988-12-31,,,,,,,,,,,,,,,,,,,5664.1830446012
1989-01-31,,,,,,,,,,,,,,,,,,,5664.712136056039
1989-02-28,,,,,,,,,,,,,,,,,,,5665.215539162042
1989-03-31,,,,,,,,,,,,,,,,,,,5666.0958700391775
1989-04-30,,,,,,,,,,,,,,,,,,,5665.722240829271
1989-05-31,,,,,,,,,,,,,,,,,,,5663.872382068368
1989-06-30,,,,,,,,,,,,,,,,,,,5662.477642990858
1989-07-31,,,,,,,,,,,,,,,,,,,5660.723080081061
1989-08-31,,,,,,,,,,,,,,,,,,,5658.730258246054
1989-09-30,,,,,,,,,,,,,,,,,,,5657.38623554975
1989-10-31,,,,,,,,,,,,,,,,,,,5657.20929209274
1989-11-30,,,,,,,,,,,,,,,,,,,5657.442916542576
1989-12-31,,,,,,,,,,,,,,,,,,,5657.612461254005
1990-01-31,,,,,,,,,,,,,,,,,,,5658.415477745468
1990-02-28,,,,,,,,,,,,,,,,,,,5659.072595938194
1990-03-31,,,,,,,,,,,,,,,,,,,5659.1325656302915
1990-04-30,,,,,,,,,,,,,,,,,,,5658.831958429396
1990-05-31,,,,,,,,,,,,,,,,,,,5657.078748592667
1990-06-30,,,,,,,,,,,,,,,,,,,5655.092079531361
1990-07-31,,,,,,,,,,,,,,,,,,,5652.920658288015
1990-08-31,,,,,,,,,,,,,,,,,,,5650.618747722234
1990-09-30,,,,,,,,,,,,,,,,,,,5648.309929489908
1990-10-31,,,,,,,,,,,,,,,,,,,5647.783780115945
1990-11-30,,,,,,,,,,,,,,,,,,,5647.886000142444
1990-12-31,,,,,,,,,,,,,,,,,,,5648.141573349917
1991-01-31,,,,,,,,,,,,,,,,,,,5648.4879714520675
1991-02-28,,,,,,,,,,,,,,,,,,,5648.700243871809
1991-03-31,,,,,,,,,,,,,,,,,,,5650.69255511225
1991-04-30,,,,,,,,,,,,,,,,,,,5650.359702255345
1991-05-31,,,,,,,,,,,,,,,,,,,5648.418404554769
1991-06-30,,,,,,,,,,,,,,,,,,,5646.661443785094
1991-07-31,,,,,,,,,,,,,,,,,,,5644.632660976274
1991-08-31,,,,,,,,,,,,,,,,,,,5642.351293442074
1991-09-30,,,,,,,,,,,,,,,,,,,5640.144460506091
1991-10-31,,,,,,,,,,,,,,,,,,,5640.066276084383
1991-11-30,,,,,,,,,,,,,,,,,,,5640.089176149776
1991-12-31,,,,,,,,,,,,,,,,,,,5640.557445358797
1992-01-31,,,,,,,,,,,,,,,,,,,5641.1547488165415
1992-02-29,,,,,,,,,,,,,,,,,,,5642.578019729474
1992-03-31,,,,,,,,,,,,,,,,,,,5643.3454763101645
1992-04-30,,,,,,,,,,,,,,,,,,,5642.837618871176
1992-05-31,,,,,,,,,,,,,,,,,,,5640.979956875348
1992-06-30,,,,,,,,,,,,,,,,,,,5639.314297017848
1992-07-31,,,,,,,,,,,,,,,,,,,5636.903943299247
1992-08-31,,,,,,,,,,,,,,,,,,,5634.3999614123
1992-09-30,,,,,,,,,,,,,,,,,,,5631.972709540191
1992-10-31,,,,,,,,,,,,,,,,,,,5631.9084912771505
1992-11-30,,,,,,,,,,,,,,,,,,,5631.883373280257
1992-12-31,,,,,,,,,,,,,,,,,,,5632.747317617415
1993-01-31,,,,,,,,,,,,,,,,,,,5634.900182605799
1993-02-28,,,,,,,,,,,,,,,,,,,5636.906002379335
1993-03-31,,,,,,,,,,,,,,,,,,,5638.965367740874
