,trmm_p,prism_p,chirps_p,persiann_p
2008-07-01,43870.040702819824,368557.65798568726,60757.565116882324,58892.95349121094
2008-08-01,50035.05168914795,130640.18657684326,84206.70683383942,49319.59762573242
2008-09-01,50356.95728302002,104033.09629440308,167910.15915870667,71503.03928375244
2008-10-01,366106.3591003418,1190640.2982330322,921641.7995452881,312777.11837768555
2008-11-01,975616.2103271484,3451726.3760375977,2108611.8072509766,873390.9375
2008-12-01,856068.1512451172,4050692.127685547,1739338.0485534668,763260.9136962891
2009-01-01,811793.0291748047,2666802.4296569824,1106932.585144043,678617.1002197266
2009-02-01,1619330.9326171875,7500409.013671875,4267908.5861206055,1464191.6967773438
2009-03-01,922218.0523681641,4179689.2611694336,2187845.150756836,837857.0050048828
2009-04-01,435254.0432739258,1256326.349029541,877609.4512939453,359920.10330200195
2009-05-01,525656.5548706055,2601561.9479370117,1150247.1691131592,469214.0853881836
2009-06-01,291245.05783081055,1059453.8580322266,449165.79780578613,299498.8540649414
2009-07-01,27173.62621307373,145262.8362751007,62686.43023967743,22945.252017974854
2009-08-01,44981.7075920105,250798.4724998474,116601.33447647095,48311.84062957764
2009-09-01,80455.60306549072,143609.57774162292,195628.35001945496,82896.22924804688
2009-10-01,771665.9216308594,3579978.3068847656,1515753.0910491943,770952.2827148438
2009-11-01,506903.2223510742,1238387.5133514404,993676.9592285156,434638.5974121094
2009-12-01,1091378.0236816406,5028243.101806641,2589985.7872009277,1014735.2398681641
2010-01-01,1767663.7976074219,8766522.905273438,4752134.2529296875,1665577.7600097656
2010-02-01,1363299.5709228516,5396515.304260254,3121409.777069092,1144152.8448486328
2010-03-01,748848.4332275391,3275390.6103515625,1897603.5827636719,725373.5696411133
2010-04-01,1142292.826538086,5656359.792480469,2785780.6869506836,1117978.3959960938
2010-05-01,383520.9649658203,2006922.389831543,788957.793045044,387710.04501342773
2010-06-01,83407.5171661377,527867.6667022705,207899.4957447052,97714.3397140503
2010-07-01,19579.596662521362,130348.90914916992,68360.25631427765,104292.90664672852
2010-08-01,37407.72491455078,302323.64124298096,108484.68589782715,74711.78215026855
2010-09-01,69083.92055511475,373273.5988998413,226485.09664535522,82518.46263885498
2010-10-01,874649.00390625,4552490.761413574,1995074.56741333,872540.8648681641
2010-11-01,982035.5987548828,4503283.277893066,2630180.5870056152,976315.3747558594
2010-12-01,2318786.71875,12581842.049560547,6330461.723327637,2272997.471923828
2011-01-01,736429.6966552734,2225957.7186584473,1514643.877029419,675392.8848266602
2011-02-01,1142633.1170654297,5471563.785095215,2541261.0443115234,1080161.5100097656
